172.96.192.207:49399#US 145ms 11179kB/s
83.147.15.155:36007#TW 152ms 10864kB/s
175.29.22.48:21039#HK 3ms 11256kB/s
36.50.90.241:47790#HK 1ms 82752kB/s
46.3.44.249:19959#JP 45ms 16343kB/s
13.158.91.69:10005#JP 52ms 34532kB/s
175.29.22.63:21029#HK 2ms 31559kB/s
104.194.86.235:443#US 143ms 13826kB/s
104.194.82.58:443#US 145ms 11191kB/s
154.9.241.42:56035#US 153ms 13953kB/s
154.12.177.24:54939#HK 0ms 118352kB/s
175.29.22.13:21039#HK 3ms 19072kB/s
166.0.198.81:28138#TW 46ms 55672kB/s
13.159.130.132:10005#JP 50ms 60477kB/s
47.243.96.97:39738#HK 2ms 28854kB/s
149.104.30.135:443#HK 2ms 11862kB/s
64.120.89.69:20231#HK 0ms 11468kB/s
144.34.230.39:443#US 143ms 13840kB/s
154.3.35.61:49183#HK 0ms 116112kB/s
43.165.183.43:443#JP 49ms 23072kB/s
151.240.13.47:443#HK 0ms 114367kB/s
13.114.81.83:10010#JP 51ms 64828kB/s
46.203.124.143:20040#HK 0ms 22173kB/s
103.150.8.181:18899#JP 50ms 56896kB/s
140.238.6.226:44444#KR 38ms 52345kB/s
38.207.190.141:587#US 162ms 12663kB/s
167.88.186.230:57479#JP 51ms 38187kB/s
18.163.244.153:443#SG 1ms 26748kB/s
82.23.177.51:18470#SG 38ms 67669kB/s
47.91.31.4:39738#JP 51ms 26659kB/s
13.114.81.83:10010#JP 52ms 34615kB/s
47.79.42.197:443#JP 56ms 26608kB/s
83.147.14.5:17009#TW 16ms 98671kB/s
38.105.30.228:33668#US 147ms 8773kB/s
154.7.181.10:20058#US 167ms 8593kB/s
154.21.91.135:36688#US 143ms 11713kB/s
154.3.35.61:49183#HK 0ms 195255kB/s
103.160.100.111:21759#JP 49ms 40334kB/s
198.176.49.40:28663#US 150ms 11021kB/s
104.194.81.150:443#US 143ms 12480kB/s
175.29.22.75:21032#SG 5ms 42133kB/s
8.210.51.253:39738#HK 3ms 28703kB/s
38.207.161.100:17906#HK 1ms 49434kB/s
193.9.49.65:443#HK 1ms 19193kB/s
175.29.22.13:21039#HK 5ms 17483kB/s
175.29.22.109:21032#SG 1ms 86486kB/s
172.105.72.102:443#DE 223ms 8567kB/s
104.243.20.184:443#US 144ms 14190kB/s
154.21.88.52:39995#US 143ms 27721kB/s
209.146.113.79:52489#US 148ms 10767kB/s
13.112.148.47:10005#JP 49ms 66346kB/s
154.17.1.4:55870#US 145ms 8599kB/s
46.51.228.54:10010#JP 50ms 62607kB/s
103.69.129.71:39738#HK 0ms 215507kB/s
166.0.198.81:28061#TW 46ms 55547kB/s
37.123.193.201:40722#US 158ms 11809kB/s
13.113.113.240:10015#JP 50ms 58455kB/s
43.161.225.160:7417#HK 3ms 26799kB/s
104.194.71.68:8088#US 153ms 11152kB/s
166.0.199.97:44705#TW 47ms 77805kB/s
175.29.22.70:21029#HK 1ms 119093kB/s
172.104.110.10:14673#JP 48ms 19711kB/s
46.232.107.105:12953#HK 0ms 117758kB/s
46.232.107.105:12953#HK 0ms 51855kB/s
172.104.144.17:443#DE 223ms 9591kB/s
46.3.44.5:56696#JP 49ms 93871kB/s
175.29.22.70:21021#US 1ms 16570kB/s
172.99.137.26:40001#KR 58ms 53538kB/s
154.17.0.93:2023#US 143ms 13829kB/s
38.147.190.65:38969#HK 1ms 21818kB/s
38.47.113.227:38318#US 147ms 12990kB/s
43.165.191.25:16837#JP 51ms 19164kB/s
