IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
206.189.250.230,2053,true,FRA,欧洲,德国法兰克福,153 ms,8753 kB/s
167.99.211.130,8443,true,AMS,欧洲,荷兰阿姆斯特丹,161 ms,8741 kB/s
139.162.102.152,7002,true,NRT,亚太,日本东京,113 ms,8734 kB/s
70.34.205.63,443,true,ARN,欧洲,瑞典斯德哥尔摩,144 ms,8730 kB/s
70.34.207.78,443,true,ARN,欧洲,瑞典斯德哥尔摩,149 ms,8707 kB/s
188.166.120.40,2053,true,AMS,欧洲,荷兰阿姆斯特丹,157 ms,8701 kB/s
70.34.244.250,12531,true,WAW,欧洲,波兰华沙,170 ms,8664 kB/s
134.98.152.9,443,true,MUC,欧洲,Munich,160 ms,8645 kB/s
95.179.244.65,442,true,FRA,欧洲,德国法兰克福,154 ms,8644 kB/s
78.141.220.237,8081,true,AMS,欧洲,荷兰阿姆斯特丹,152 ms,8635 kB/s
64.176.72.98,442,true,WAW,欧洲,波兰华沙,171 ms,8635 kB/s
104.248.130.109,443,true,FRA,欧洲,德国法兰克福,150 ms,8586 kB/s
70.34.223.217,8443,true,ARN,欧洲,瑞典斯德哥尔摩,164 ms,8476 kB/s
209.38.240.63,443,true,FRA,欧洲,德国法兰克福,154 ms,8473 kB/s
167.71.253.191,443,true,EWR,北美洲,美国纽瓦克,65 ms,8431 kB/s
159.65.185.43,1002,true,EWR,北美洲,美国纽瓦克,69 ms,8396 kB/s
146.190.55.58,443,true,SJC,北美洲,美国圣何塞,13 ms,8394 kB/s
209.38.169.61,2082,true,LHR,欧洲,英国伦敦,135 ms,8388 kB/s
95.179.164.162,8443,true,FRA,欧洲,德国法兰克福,155 ms,8341 kB/s
104.131.81.68,443,true,EWR,北美洲,美国纽瓦克,70 ms,8294 kB/s
137.184.67.164,2053,true,EWR,北美洲,美国纽瓦克,73 ms,8217 kB/s
167.71.47.237,443,true,FRA,欧洲,德国法兰克福,153 ms,8177 kB/s
