IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
140.238.38.81,587,true,NRT,亚太,日本东京,102 ms,4906 kB/s
152.69.229.175,22558,true,ICN,亚太,韩国首尔,244 ms,4904 kB/s
188.226.153.14,443,true,AMS,欧洲,荷兰阿姆斯特丹,152 ms,4900 kB/s
158.101.154.245,47001,true,NRT,亚太,日本东京,103 ms,4899 kB/s
139.162.143.187,8443,true,FRA,欧洲,德国法兰克福,149 ms,4890 kB/s
206.189.102.194,443,true,AMS,欧洲,荷兰阿姆斯特丹,145 ms,4889 kB/s
140.83.38.177,34237,true,NRT,亚太,日本东京,100 ms,4881 kB/s
144.24.87.69,50001,true,ICN,亚太,韩国首尔,244 ms,4863 kB/s
152.70.101.24,16081,true,NRT,亚太,日本东京,100 ms,4858 kB/s
161.35.195.134,443,true,FRA,欧洲,德国法兰克福,149 ms,4854 kB/s
134.209.250.230,443,true,FRA,欧洲,德国法兰克福,148 ms,4854 kB/s
146.56.99.255,56789,true,ICN,亚太,韩国首尔,135 ms,4851 kB/s
207.148.121.53,12441,true,SIN,亚太,新加坡,191 ms,4844 kB/s
129.154.202.229,8443,true,ICN,亚太,韩国首尔,129 ms,4808 kB/s
150.136.243.175,443,true,EWR,北美洲,美国纽瓦克,61 ms,4805 kB/s
65.20.102.220,443,true,MAD,欧洲,西班牙马德里,160 ms,4781 kB/s
